iter	RMSE
0	4.577374699e-09
1	4.325765497e-09
2	4.091012597e-09
3	3.874423686e-09
4	3.681223297e-09
5	3.496878149e-09
6	3.329841955e-09
7	3.173158306e-09
8	3.029548428e-09
9	2.893471464e-09
10	2.769983747e-09
11	2.654453428e-09
12	2.547534434e-09
13	2.446191547e-09
14	2.354888875e-09
15	2.268279591e-09
16	2.185539137e-09
17	2.110270564e-09
18	2.045523392e-09
19	1.9750845e-09
20	1.914030418e-09
21	1.85306384e-09
22	1.801040094e-09
23	1.748378428e-09
24	1.69894432e-09
25	1.652569738e-09
26	1.610031498e-09
27	1.567672046e-09
28	1.525581092e-09
29	1.487920983e-09
30	1.453006509e-09
31	1.418592117e-09
32	1.384464415e-09
33	1.354823956e-09
34	1.323567087e-09
35	1.292082501e-09
36	1.26530235e-09
37	1.240695972e-09
38	1.218487249e-09
39	1.192781632e-09
40	1.171548445e-09
41	1.151779809e-09
42	1.131436163e-09
43	1.114200316e-09
44	1.094894984e-09
45	1.077221642e-09
46	1.060729924e-09
47	1.046281623e-09
48	1.032964584e-09
49	1.017542061e-09
50	9.997600287e-10
51	9.843233695e-10
52	9.716792243e-10
53	9.601613084e-10
54	9.46425025e-10
55	9.35897327e-10
56	9.238369918e-10
57	9.106864481e-10
58	8.986080408e-10
59	8.883915814e-10
60	8.77874227e-10
61	8.685336915e-10
62	8.600600732e-10
63	8.513011876e-10
64	8.420574429e-10
65	8.309116216e-10
66	8.20297713e-10
67	8.132180958e-10
68	8.054690521e-10
69	7.985167268e-10
70	7.922623471e-10
71	7.831961792e-10
72	7.771966617e-10
73	7.671631313e-10
74	7.614258715e-10
75	7.536674069e-10
76	7.482576874e-10
77	7.392806912e-10
78	7.337214551e-10
79	7.273477678e-10
80	7.209417189e-10
81	7.155568463e-10
82	7.101082925e-10
83	7.052797932e-10
84	7.000696524e-10
85	6.916169123e-10
86	6.844171909e-10
87	6.761600415e-10
88	6.716928281e-10
89	6.65148097e-10
90	6.606569137e-10
91	6.560451337e-10
92	6.499687323e-10
93	6.457334438e-10
94	6.406510198e-10
95	6.345120254e-10
96	6.310437214e-10
97	6.271428426e-10
98	6.213422586e-10
99	6.177903705e-10
100	6.12131386e-10
101	6.082848645e-10
102	6.039103498e-10
103	5.982514631e-10
104	5.92123461e-10
105	5.895323659e-10
106	5.864002706e-10
107	5.82957055e-10
108	5.802328586e-10
109	5.77252909e-10
110	5.74007612e-10
111	5.703752576e-10
112	5.659562127e-10
113	5.61761351e-10
114	5.581279586e-10
115	5.551980251e-10
116	5.50061144e-10
117	5.479174659e-10
118	5.41961613e-10
119	5.400068179e-10
120	5.36194211e-10
121	5.3363295e-10
122	5.306560476e-10
123	5.261968998e-10
124	5.243121608e-10
125	5.214600167e-10
126	5.17613783e-10
127	5.150402744e-10
128	5.127179481e-10
129	5.078861998e-10
130	5.047936836e-10
131	5.02129141e-10
132	4.999099951e-10
133	4.964321986e-10
134	4.944793221e-10
135	4.92264456e-10
136	4.903770625e-10
137	4.880827679e-10
138	4.858053297e-10
139	4.837482926e-10
140	4.819187729e-10
141	4.792183502e-10
142	4.766864805e-10
143	4.737275066e-10
144	4.71117571e-10
145	4.689332907e-10
146	4.66551913e-10
147	4.642211547e-10
148	4.62067019e-10
149	4.587677942e-10
150	4.558626869e-10
151	4.542783357e-10
152	4.527054346e-10
153	4.504727738e-10
154	4.479288646e-10
155	4.453653323e-10
156	4.431821621e-10
157	4.413713772e-10
158	4.394166886e-10
159	4.367079647e-10
160	4.350245296e-10
161	4.334058727e-10
162	4.320934123e-10
163	4.305580479e-10
164	4.287724102e-10
165	4.267284686e-10
166	4.245058836e-10
167	4.22747738e-10
168	4.21362467e-10
169	4.192691525e-10
170	4.17673918e-10
171	4.158536476e-10
172	4.134431997e-10
173	4.11303147e-10
174	4.092384268e-10
175	4.073394638e-10
176	4.054495639e-10
177	4.041520036e-10
178	4.030112704e-10
179	4.014175121e-10
180	3.989350058e-10
181	3.971466334e-10
182	3.950160928e-10
183	3.933046323e-10
184	3.915341999e-10
185	3.900928534e-10
186	3.886280396e-10
187	3.874517236e-10
188	3.865463307e-10
189	3.854590025e-10
190	3.838394128e-10
191	3.814897614e-10
192	3.802370067e-10
193	3.791431152e-10
194	3.77777629e-10
195	3.770799921e-10
196	3.749879821e-10
197	3.737175424e-10
198	3.723668239e-10
199	3.711731878e-10
200	3.701013862e-10
201	3.686144892e-10
202	3.670113958e-10
203	3.660248193e-10
204	3.65028139e-10
205	3.635013713e-10
206	3.618589108e-10
207	3.609618449e-10
208	3.601921213e-10
209	3.589152958e-10
210	3.578178937e-10
211	3.562478958e-10
212	3.550808078e-10
213	3.537216807e-10
214	3.520750645e-10
215	3.503561533e-10
216	3.492812879e-10
217	3.475545755e-10
218	3.461016229e-10
219	3.451879823e-10
220	3.443054026e-10
221	3.432699877e-10
222	3.425239211e-10
223	3.417722481e-10
224	3.405720585e-10
225	3.393654773e-10
226	3.381315345e-10
227	3.369063741e-10
228	3.360166638e-10
229	3.352854029e-10
230	3.346341715e-10
231	3.337446028e-10
232	3.326476232e-10
233	3.318221379e-10
234	3.310340255e-10
235	3.295727453e-10
236	3.288072216e-10
237	3.277999926e-10
238	3.263876323e-10
239	3.252088182e-10
240	3.240196881e-10
241	3.225399591e-10
242	3.218493223e-10
243	3.209852327e-10
244	3.197671931e-10
245	3.189205918e-10
246	3.179655804e-10
247	3.168509856e-10
248	3.1590547e-10
249	3.153008398e-10
250	3.14627159e-10
251	3.135701092e-10
252	3.125652691e-10
253	3.11841245e-10
254	3.111162245e-10
255	3.101839397e-10
256	3.096023366e-10
257	3.085228216e-10
258	3.077143651e-10
259	3.069562729e-10
260	3.057055454e-10
261	3.044273134e-10
262	3.036146352e-10
263	3.027785605e-10
264	3.017066958e-10
265	3.008441317e-10
266	2.996597997e-10
267	2.99113796e-10
268	2.98346686e-10
269	2.975993282e-10
270	2.969260915e-10
271	2.959401532e-10
272	2.95373365e-10
273	2.94662371e-10
274	2.936374532e-10
275	2.931931288e-10
276	2.924433795e-10
277	2.915549648e-10
278	2.908538577e-10
279	2.898399616e-10
280	2.893303668e-10
281	2.886332125e-10
282	2.878811917e-10
283	2.872543918e-10
284	2.866767237e-10
285	2.859975801e-10
286	2.855483762e-10
287	2.851660464e-10
288	2.842361212e-10
289	2.836813527e-10
290	2.831590315e-10
291	2.825601618e-10
292	2.820080002e-10
293	2.812287845e-10
294	2.807418704e-10
295	2.800588613e-10
296	2.796857518e-10
297	2.790374377e-10
298	2.785927415e-10
299	2.781574934e-10
300	2.776713985e-10
301	2.769894245e-10
302	2.764566628e-10
303	2.758284467e-10
304	2.749542472e-10
305	2.7433434e-10
306	2.735336796e-10
307	2.730412943e-10
308	2.725737906e-10
309	2.720217052e-10
310	2.710771113e-10
311	2.702698334e-10
312	2.697161116e-10
313	2.690939873e-10
314	2.686592313e-10
315	2.682118981e-10
316	2.678065812e-10
317	2.673650088e-10
318	2.668372645e-10
319	2.662129144e-10
