iter	Passed	Remaining
0	8	8167
1	13	6499
2	18	6197
3	21	5338
4	24	4867
5	27	4569
6	32	4551
7	37	4657
8	41	4589
9	46	4649
10	53	4779
11	56	4674
12	61	4699
13	67	4747
14	71	4677
15	73	4532
16	78	4526
17	83	4529
18	87	4512
19	90	4450
20	94	4427
21	100	4460
22	104	4431
23	109	4436
24	113	4436
25	119	4469
26	122	4422
27	128	4466
28	133	4477
29	136	4428
30	140	4404
31	143	4350
32	147	4313
33	149	4250
34	151	4185
35	154	4132
36	159	4142
37	163	4146
38	167	4116
39	169	4074
40	176	4131
41	182	4164
42	185	4137
43	192	4176
44	197	4192
45	200	4156
46	204	4152
47	208	4126
48	213	4147
49	217	4129
50	220	4109
51	224	4100
52	229	4092
53	232	4072
54	237	4081
55	242	4082
56	246	4075
57	250	4074
58	253	4050
59	257	4040
60	263	4058
61	267	4048
62	270	4029
63	274	4017
64	279	4021
65	283	4015
66	289	4025
67	294	4029
68	298	4032
69	302	4014
70	306	4008
71	310	4005
72	315	4009
73	318	3989
74	322	3982
75	327	3987
76	333	3994
77	337	3988
78	341	3986
79	348	4002
80	352	3997
81	354	3973
82	359	3973
83	363	3965
84	366	3948
85	370	3940
86	373	3915
87	375	3895
88	379	3887
89	384	3887
90	387	3870
91	391	3867
92	395	3855
93	398	3840
94	401	3827
95	403	3803
96	406	3784
97	410	3775
98	412	3754
99	416	3744
100	418	3725
101	420	3703
102	423	3690
103	426	3677
104	429	3657
105	432	3648
106	434	3627
107	436	3606
108	440	3598
109	443	3586
110	446	3577
111	449	3561
112	451	3542
113	454	3534
114	458	3524
115	460	3507
116	463	3497
117	465	3480
118	467	3462
119	469	3444
120	473	3438
121	475	3424
122	479	3417
123	481	3403
124	483	3387
125	485	3370
126	489	3362
127	491	3349
128	495	3344
129	497	3331
130	499	3315
131	502	3301
132	505	3295
133	507	3282
134	511	3276
135	513	3263
136	515	3248
137	517	3235
138	521	3228
139	523	3217
140	526	3209
141	529	3198
142	531	3184
143	533	3170
144	537	3169
145	539	3158
146	543	3152
147	545	3141
148	547	3128
149	549	3114
150	552	3109
151	555	3099
152	559	3096
153	561	3085
154	564	3076
155	566	3064
156	569	3059
157	572	3048
158	576	3047
159	578	3039
160	581	3027
161	583	3020
162	586	3014
163	589	3003
164	592	2996
165	594	2987
166	596	2976
167	599	2968
168	602	2962
169	604	2953
170	608	2948
171	610	2938
172	612	2927
173	615	2920
174	618	2916
175	620	2905
176	623	2900
177	625	2890
178	627	2880
179	630	2870
180	633	2866
181	635	2857
182	639	2853
183	641	2845
184	643	2835
185	645	2826
186	648	2817
187	651	2814
188	655	2812
189	657	2804
190	659	2794
191	661	2785
192	665	2784
193	669	2780
194	674	2782
195	677	2779
196	680	2774
197	688	2789
198	696	2803
199	706	2824
200	712	2832
201	723	2858
202	727	2856
203	731	2855
204	737	2860
205	740	2854
206	744	2850
207	750	2858
208	755	2858
209	758	2854
210	762	2852
211	766	2850
212	770	2845
213	772	2839
214	778	2843
215	782	2841
216	785	2835
217	787	2826
218	791	2821
219	793	2814
220	796	2808
221	801	2808
222	805	2805
223	813	2817
224	820	2825
225	823	2820
226	828	2820
227	835	2829
228	842	2835
229	844	2828
230	849	2827
231	852	2821
232	856	2819
233	859	2812
234	861	2804
235	865	2802
236	868	2794
237	871	2791
238	874	2783
239	876	2775
240	879	2769
241	882	2765
242	886	2760
243	888	2754
244	891	2746
245	893	2739
246	897	2735
247	899	2728
248	903	2724
249	905	2717
250	908	2710
251	912	2707
252	914	2700
253	917	2695
254	920	2689
255	922	2682
256	925	2675
257	928	2671
258	931	2664
259	934	2660
260	937	2653
261	939	2646
262	942	2640
263	945	2636
264	948	2630
265	952	2627
266	954	2621
267	957	2615
268	961	2612
269	964	2607
270	968	2606
271	971	2599
272	974	2593
273	977	2590
274	982	2591
275	985	2585
276	988	2579
277	992	2577
278	997	2578
279	1002	2577
280	1004	2570
281	1007	2565
282	1011	2562
283	1016	2562
284	1021	2562
285	1026	2563
286	1031	2562
287	1040	2572
288	1046	2573
289	1051	2573
290	1054	2569
291	1057	2564
292	1060	2559
293	1064	2556
294	1071	2560
295	1075	2559
296	1080	2556
297	1083	2551
298	1088	2552
299	1093	2552
300	1098	2551
301	1104	2552
302	1108	2549
303	1111	2545
304	1117	2546
305	1123	2547
306	1128	2546
307	1130	2540
308	1133	2535
309	1139	2536
310	1146	2540
311	1150	2536
312	1155	2535
313	1159	2532
314	1165	2534
315	1171	2534
316	1176	2533
317	1178	2528
318	1183	2526
319	1187	2523
320	1193	2524
321	1198	2524
322	1203	2522
323	1207	2518
324	1209	2512
325	1214	2511
326	1223	2518
327	1228	2516
328	1234	2517
329	1241	2520
330	1247	2521
331	1252	2520
332	1258	2519
333	1263	2519
334	1267	2515
335	1272	2513
336	1280	2518
337	1284	2516
338	1287	2509
339	1289	2503
340	1294	2501
341	1300	2501
342	1306	2502
343	1310	2498
344	1312	2492
345	1321	2498
346	1326	2496
347	1331	2493
348	1334	2489
349	1336	2482
350	1341	2480
351	1345	2476
352	1349	2473
353	1352	2467
354	1355	2462
355	1358	2457
356	1360	2450
357	1364	2446
358	1366	2440
359	1369	2433
360	1371	2428
361	1375	2423
362	1378	2419
363	1381	2414
364	1384	2407
365	1386	2402
366	1390	2397
367	1395	2396
368	1399	2393
369	1402	2388
370	1406	2385
371	1409	2380
372	1413	2376
373	1416	2370
374	1419	2365
375	1422	2360
376	1426	2357
377	1429	2352
378	1431	2346
379	1434	2340
380	1437	2336
381	1440	2330
382	1443	2326
383	1446	2320
384	1448	2314
385	1451	2309
386	1454	2304
387	1458	2300
388	1461	2295
389	1463	2288
390	1466	2283
391	1469	2279
392	1472	2274
393	1476	2270
394	1478	2264
395	1482	2261
396	1490	2263
397	1495	2262
398	1502	2263
399	1508	2262
400	1511	2257
401	1515	2254
402	1519	2250
403	1524	2249
404	1528	2244
405	1531	2240
406	1535	2237
407	1543	2239
408	1551	2242
409	1555	2238
410	1559	2234
411	1561	2228
412	1567	2227
413	1579	2235
414	1583	2232
415	1588	2229
416	1595	2230
417	1600	2228
418	1606	2227
419	1609	2222
420	1615	2221
421	1620	2219
422	1623	2214
423	1626	2209
424	1629	2205
425	1633	2201
426	1639	2200
427	1647	2201
428	1650	2197
429	1654	2193
430	1657	2188
431	1662	2186
432	1667	2183
433	1671	2179
434	1675	2175
435	1677	2170
436	1680	2164
437	1682	2159
438	1686	2154
439	1691	2152
440	1694	2147
441	1697	2142
442	1699	2137
443	1703	2132
